TrainStep,Cifar10-Loss,Cifar20-Loss,Cifar100-Loss,TrainStep,Cifar10-Accuracy,Cifar20-Accuracy,Cifar100-Accuracy
1010,1.091882,1.987535,2.83065,1010,0.85,0.68,0.59
1020,0.942457,1.78575,2.798291,1020,0.92,0.7,0.58
1030,1.11237,1.841436,2.549431,1030,0.83,0.69,0.68
1040,0.9542,1.749711,3.290442,1040,0.86,0.64,0.46
1050,0.890354,1.953029,2.639348,1050,0.83,0.56,0.63
1060,1.071574,1.845475,2.621256,1060,0.82,0.71,0.6
1070,0.949256,1.875794,2.698483,1070,0.84,0.67,0.56
1080,1.104635,2.055844,2.596133,1080,0.76,0.69,0.64
1090,0.975598,1.551366,2.702367,1090,0.87,0.74,0.53
1100,0.991068,1.630853,2.947822,1100,0.85,0.7,0.55
1110,1.027572,1.892407,2.789136,1110,0.87,0.66,0.62
1120,1.003293,1.925687,2.819959,1120,0.82,0.72,0.64
1130,0.813984,1.916334,2.823149,1130,0.83,0.62,0.66
1140,0.830006,1.966493,2.478072,1140,0.91,0.69,0.66
1150,1.348694,1.767432,2.656964,1150,0.71,0.74,0.66
1160,1.165707,1.73783,2.969211,1160,0.82,0.76,0.56
1170,1.121853,1.499527,2.565619,1170,0.78,0.8,0.68
1180,0.995758,1.804996,2.80564,1180,0.85,0.67,0.64
1190,0.785526,1.917486,2.663689,1190,0.86,0.67,0.57
1200,0.966663,1.986392,2.390696,1200,0.79,0.67,0.66
1210,1.169642,1.677087,2.675883,1210,0.75,0.79,0.59
1220,1.109712,2.225777,2.603334,1220,0.78,0.62,0.61
1230,0.861148,1.93752,2.620048,1230,0.83,0.68,0.6
1240,1.212749,1.693796,2.828495,1240,0.73,0.75,0.63
1250,1.026598,1.436253,2.850379,1250,0.89,0.81,0.51
1260,1.213106,1.595585,2.522848,1260,0.76,0.75,0.66
1270,0.94235,1.823387,2.490937,1270,0.87,0.75,0.62
1280,0.729232,1.644168,2.668304,1280,0.9,0.76,0.66
1290,0.823564,1.642228,2.736647,1290,0.87,0.73,0.59
1300,1.12597,1.775421,2.756431,1300,0.86,0.72,0.66
1310,1.020717,1.563426,2.410522,1310,0.85,0.81,0.7
1320,0.780765,1.632074,2.675892,1320,0.9,0.72,0.72
1330,0.913541,1.723011,2.559283,1330,0.8,0.71,0.63
1340,1.002264,1.568456,2.381253,1340,0.86,0.76,0.68
1350,1.062272,1.519428,2.91671,1350,0.77,0.84,0.55
1360,1.093248,1.706858,2.241956,1360,0.78,0.74,0.68
1370,0.932222,1.546196,2.23819,1370,0.85,0.82,0.75
1380,0.742464,1.752797,2.797202,1380,0.88,0.73,0.61
1390,0.98682,1.616397,2.764677,1390,0.86,0.79,0.66
1400,0.957446,1.495097,2.443599,1400,0.87,0.84,0.62
1410,0.805254,1.931087,2.722199,1410,0.86,0.65,0.61
1420,1.068803,1.561277,2.590491,1420,0.82,0.77,0.64
1430,0.91723,1.481064,2.401506,1430,0.89,0.81,0.68
1440,1.136969,1.631914,2.44154,1440,0.82,0.75,0.65
1450,0.800802,1.49015,2.211606,1450,0.87,0.84,0.75
1460,1.014202,1.941189,2.052164,1460,0.84,0.67,0.74
1470,0.850914,1.570106,2.60035,1470,0.87,0.75,0.63
1480,0.850269,1.613319,2.490223,1480,0.9,0.79,0.62
1490,0.976009,1.558955,2.676119,1490,0.8,0.76,0.56
